Question Number,Question,Answer,Category,Difficulty
1,What is a Data Structure?,"[
  ""A data structure is a way of organizing and storing data so that it can be accessed and modified efficiently."",
  ""Data structures are specialized formats used to store, manage, and arrange data in a computer for efficient processing."",
  ""A data structure refers to the logical or mathematical model used to organize data elements and their relationships."",
  ""It is a method of structuring data in memory to perform operations like insertion, deletion, and searching effectively."",
  ""Data structures are techniques used in computer science to organize data in a way that optimizes performance and resource usage.""
]",Data Structures & Algorithms (DSA) ,Easy
2,What is an Algorithm?,"[
  ""An algorithm is a step-by-step procedure or set of rules designed to solve a specific problem or perform a task."",
  ""It is a finite sequence of well-defined instructions used to process data and achieve a desired output."",
  ""An algorithm refers to a logical sequence of operations that takes input, processes it, and produces output."",
  ""Algorithms are systematic methods used in computing to perform calculations, data processing, and automated reasoning."",
  ""It is a structured approach to solving problems where each step is clearly defined and leads to a solution.""
]",Data Structures & Algorithms (DSA) ,Easy
3,What is the difference between Array and Linked List?,"[
  ""An array stores elements in contiguous memory locations and allows fast index-based access, while a linked list stores elements in non-contiguous memory with nodes connected by pointers, making insertion and deletion easier but access slower."",
  
  ""Arrays have a fixed size and support direct access using indices, whereas linked lists are dynamic in size and require sequential traversal to access elements."",
  
  ""In an array, elements are stored consecutively and memory is allocated beforehand, while in a linked list, elements are stored in nodes that are linked together and memory is allocated dynamically."",
  
  ""Arrays provide O(1) access time but costly insertions and deletions, while linked lists provide efficient insertions and deletions but O(n) access time."",
  
  ""The main difference is that arrays use continuous memory and indexing, while linked lists use pointers to connect elements and do not require continuous memory allocation.""
]",Data Structures & Algorithms (DSA) ,Easy
4,What is Time Complexity?,"[
  ""Time complexity is a measure of how the execution time of an algorithm grows with the size of the input."",
  
  ""It refers to the computational complexity that describes the amount of time an algorithm takes to run as a function of input size."",
  
  ""Time complexity is a way to analyze the efficiency of an algorithm by estimating how its running time increases with larger inputs."",
  
  ""It represents the relationship between input size and the number of operations performed by an algorithm."",
  
  ""Time complexity is used in computer science to evaluate and compare algorithms based on their performance and scalability.""
]",Data Structures & Algorithms (DSA) ,Easy
5,What is Space Complexity?,"[
  ""Space complexity is the measure of the amount of memory an algorithm requires relative to the size of the input."",
  
  ""It refers to the total memory space needed by an algorithm during its execution, including input and auxiliary space."",
  
  ""Space complexity is a way to analyze how much memory an algorithm uses as the input size grows."",
  
  ""It represents the relationship between input size and the memory consumed by an algorithm."",
  
  ""Space complexity evaluates the efficiency of an algorithm in terms of memory usage and storage requirements.""
]  ",Data Structures & Algorithms (DSA) ,Easy
6,What is Big-O Notation?,"[
  ""Big-O notation is a mathematical representation used to describe the upper bound of an algorithm's time or space complexity in terms of input size."",
  
  ""It is a way to express the worst-case growth rate of an algorithm, helping to analyze its efficiency as input size increases."",
  
  ""Big-O notation defines how the performance of an algorithm scales by focusing on the dominant term and ignoring constants."",
  
  ""It is used in computer science to compare algorithms based on how their running time or memory usage grows with larger inputs."",
  
  ""Big-O notation provides an asymptotic analysis of algorithms, indicating how they behave for very large input sizes.""
]",Data Structures & Algorithms (DSA) ,Easy
7,What is a Stack?,"[
  ""A stack is a linear data structure that follows the Last In First Out (LIFO) principle, where the last element added is the first one to be removed."",
  
  ""It is a data structure in which elements are inserted and removed from only one end, called the top."",
  
  ""A stack is an ordered collection of elements that supports operations like push (insert) and pop (remove) based on LIFO behavior."",
  
  ""It is a structure used in computer science to store data temporarily, where access is restricted to the most recently added element."",
  
  ""A stack organizes data in a way that the most recent item is accessed first, commonly used in recursion and expression evaluation.""
]  ",Data Structures & Algorithms (DSA) ,Easy
8,What is a Queue?,"[
  ""A queue is a linear data structure that follows the First In First Out (FIFO) principle, where the first element added is the first one to be removed."",
  
  ""It is a data structure in which elements are inserted at the rear and removed from the front."",
  
  ""A queue is an ordered collection of elements that supports operations like enqueue (insert) and dequeue (remove) based on FIFO behavior."",
  
  ""It is a structure used to manage data in a sequence where elements are processed in the order they arrive."",
  
  ""A queue organizes data so that the oldest element is accessed first, commonly used in scheduling and buffering tasks.""
]",Data Structures & Algorithms (DSA) ,Easy
9,What is a Linked List?,"[
  ""A linked list is a linear data structure where elements are stored in nodes, and each node contains data and a reference to the next node."",
  
  ""It is a dynamic data structure in which elements are connected using pointers, allowing efficient insertion and deletion."",
  
  ""A linked list consists of a sequence of nodes where each node points to the next node in the list."",
  
  ""It is a data structure that does not require contiguous memory, as elements are linked together through references."",
  
  ""A linked list organizes data in nodes, with each node holding a value and a link to the next element in the sequence.""
]  ",Data Structures & Algorithms (DSA) ,Easy
10,What is a Binary Tree?,"[
  ""A binary tree is a hierarchical data structure in which each node has at most two children, referred to as the left child and right child."",
  
  ""It is a tree-based data structure where every node can have zero, one, or two child nodes."",
  
  ""A binary tree consists of nodes connected in a parent-child relationship, with each node having up to two descendants."",
  
  ""It is a non-linear data structure used to organize data in a hierarchical manner, where each node has at most two children."",
  
  ""A binary tree is a structure where data is stored in nodes, and each node links to two other nodes, forming a branching structure.""
]",Data Structures & Algorithms (DSA) ,Easy
11,What is Linear Search?,"[
  ""Linear search is a simple searching algorithm that checks each element in a list sequentially until the desired element is found or the list ends."",
  
  ""It is a method of searching where elements are examined one by one in order until the target value is located."",
  
  ""Linear search scans through the entire dataset from start to end to find a specific element."",
  
  ""It is a basic algorithm that compares the target value with every element in the collection sequentially."",
  
  ""Linear search is used to find an element by traversing the list step by step without skipping any elements.""
]  ",Data Structures & Algorithms (DSA) ,Easy
